"age","job","marital","education","default","balance","housing","loan","contact","month","duration","campaign","pdays","previous","poutcome","y"
30,"unemployed","married","primary","no",1787,"no","no","cellular","oct",79,1,-1,0,"unknown","no"
33,"services","married","secondary","no",4789,"yes","yes","cellular","may",220,1,339,4,"failure","no"
35,"management","single","tertiary","no",1350,"yes","no","cellular","apr",185,1,330,1,"failure","no"
30,"management","married","tertiary","no",1476,"yes","yes","unknown","jun",199,4,-1,0,"unknown","no"
59,"blue-collar","married","secondary","no",0,"yes","no","unknown","may",226,1,-1,0,"unknown","no"
35,"management","single","tertiary","no",747,"no","no","cellular","feb",141,2,176,3,"failure","no"
36,"self-employed","married","tertiary","no",307,"yes","no","cellular","may",341,1,330,2,"other","no"
39,"technician","married","secondary","no",147,"yes","no","cellular","may",151,2,-1,0,"unknown","no"
41,"entrepreneur","married","tertiary","no",221,"yes","no","unknown","may",57,2,-1,0,"unknown","no"
43,"services","married","primary","no",-88,"yes","yes","cellular","apr",313,1,147,2,"failure","no"
39,"services","married","secondary","no",9374,"yes","no","unknown","may",273,1,-1,0,"unknown","no"
43,"admin.","married","secondary","no",264,"yes","no","cellular","apr",113,2,-1,0,"unknown","no"
36,"technician","married","tertiary","no",1109,"no","no","cellular","aug",328,2,-1,0,"unknown","no"
20,"student","single","secondary","no",502,"no","no","cellular","apr",261,1,-1,0,"unknown","yes"
31,"blue-collar","married","secondary","no",360,"yes","yes","cellular","jan",89,1,241,1,"failure","no"
40,"management","married","tertiary","no",194,"no","yes","cellular","aug",189,2,-1,0,"unknown","no"
56,"technician","married","secondary","no",4073,"no","no","cellular","aug",239,5,-1,0,"unknown","no"
37,"admin.","single","tertiary","no",2317,"yes","no","cellular","apr",114,1,152,2,"failure","no"
25,"blue-collar","single","primary","no",-221,"yes","no","unknown","may",250,1,-1,0,"unknown","no"
31,"services","married","secondary","no",132,"no","no","cellular","jul",148,1,152,1,"other","no"
38,"management","divorced","unknown","no",0,"yes","no","cellular","nov",96,2,-1,0,"unknown","no"
42,"management","divorced","tertiary","no",16,"no","no","cellular","nov",140,3,-1,0,"unknown","no"
44,"services","single","secondary","no",106,"no","no","unknown","jun",109,2,-1,0,"unknown","no"
44,"entrepreneur","married","secondary","no",93,"no","no","cellular","jul",125,2,-1,0,"unknown","no"
26,"housemaid","married","tertiary","no",543,"no","no","cellular","jan",169,3,-1,0,"unknown","no"
41,"management","married","tertiary","no",5883,"no","no","cellular","nov",182,2,-1,0,"unknown","no"
55,"blue-collar","married","primary","no",627,"yes","no","unknown","may",247,1,-1,0,"unknown","no"
67,"retired","married","unknown","no",696,"no","no","telephone","aug",119,1,105,2,"failure","no"
56,"self-employed","married","secondary","no",784,"no","yes","cellular","jul",149,2,-1,0,"unknown","no"
53,"admin.","married","secondary","no",105,"no","yes","cellular","aug",74,2,-1,0,"unknown","no"
68,"retired","divorced","secondary","no",4189,"no","no","telephone","jul",897,2,-1,0,"unknown","yes"
31,"technician","married","secondary","no",171,"no","no","cellular","aug",81,3,-1,0,"unknown","no"
59,"management","married","secondary","no",42,"no","no","cellular","nov",40,1,-1,0,"unknown","no"
32,"management","single","tertiary","no",2536,"yes","no","cellular","aug",958,6,-1,0,"unknown","yes"
49,"technician","married","tertiary","no",1235,"no","no","cellular","aug",354,3,-1,0,"unknown","yes"
42,"admin.","divorced","secondary","no",1811,"yes","no","unknown","may",150,1,-1,0,"unknown","no"
78,"retired","divorced","primary","no",229,"no","no","telephone","oct",97,1,-1,0,"unknown","yes"
32,"blue-collar","married","secondary","no",2089,"yes","no","cellular","nov",132,1,-1,0,"unknown","yes"
33,"management","married","secondary","no",3935,"yes","no","cellular","may",765,1,342,2,"failure","yes"
23,"services","single","tertiary","no",363,"yes","no","unknown","may",16,18,-1,0,"unknown","no"
38,"management","single","tertiary","no",11971,"yes","no","unknown","nov",609,2,101,3,"failure","no"
36,"management","single","tertiary","no",553,"no","no","cellular","aug",106,2,-1,0,"unknown","no"
52,"blue-collar","married","secondary","no",1117,"yes","no","cellular","may",365,1,-1,0,"unknown","no"
32,"technician","married","tertiary","no",396,"yes","no","cellular","may",205,3,-1,0,"unknown","no"
32,"technician","single","tertiary","no",2204,"yes","no","cellular","nov",11,4,-1,0,"unknown","no"
34,"management","single","tertiary","no",872,"yes","no","unknown","may",105,2,-1,0,"unknown","no"
55,"blue-collar","married","primary","no",145,"no","no","telephone","feb",59,3,5,2,"other","no"
